Timestamp,Emotion
1694650730.620786,angry
1694650730.818399,angry
1694650731.020153,angry
1694650731.1679628,angry
1694650731.348589,angry
1694650731.473707,angry
1694650731.623318,angry
1694650731.740711,angry
1694650732.207788,angry
1694650732.4565918,angry
1694650732.6452029,angry
1694650732.857918,angry
1694650733.197649,angry
1694650733.436321,angry
1694650733.5861719,angry
1694650733.72608,angry
1694650733.892467,angry
1694650734.023157,angry
1694650734.177912,angry
1694650734.3048341,angry
1694650734.424682,angry
1694650734.713601,angry
